2023-03-14 17:48:43.752 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998370349407196 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:44.003 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983689785003662 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:44.268 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983707070350647 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:44.539 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983717203140259 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:44.794 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983710050582886 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:45.086 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983710050582886 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:45.346 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983717203140259 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:45.590 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998370349407196 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:45.841 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983717203140259 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:46.091 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983710050582886 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:46.338 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983717203140259 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:46.579 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983710050582886 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:46.815 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983710050582886 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:47.059 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983717203140259 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:47.320 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983701109886169 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:47.566 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983708262443542 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:47.824 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983701109886169 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:48.102 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983701109886169 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:48.371 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983708262443542 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:48.649 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.8925290703773499 位置 (239, 896) 缩放类型 tpl 缩放比例 0.96
2023-03-14 17:48:48.923 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9364215731620789 位置 (251, 921) 缩放类型 tpl 缩放比例 0.75
2023-03-14 17:48:49.191 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.4799521863460541 位置 (72, 1682) 缩放类型 tpl 缩放比例 0.99
2023-03-14 17:48:49.191 | INFO     | scripts.marked.marked_calculate:__file_idx_to_frame_idx:60 - _file_idx_to_frame_idx：130 >> 00000131
